nr_cpu,vanilla,bpf,rust,vanilla-stdev,bpf-stdev,rust-stdev
0,45307.546,190733.896,213524.712,3789.668582478421,8861.040792919537,6270.494718346866
1,64564.335999999996,464205.262,495800.154,3126.1939036764797,10253.839017202097,10085.721504474732
2,133615.92600000004,643760.608,665826.6240000001,3984.655217459097,13403.878035533446,11076.934805865043
3,104819.2,749921.9859999999,766755.212,3810.3619356066424,29101.40076893112,25036.99400244557
4,143178.97599999997,943375.788,957662.744,1991.9292522838216,25940.884634263657,22221.30069874273
5,203042.026,1047117.6599999998,1065044.2719999999,2791.279249832234,28592.04486871056,13960.20041212503
6,245388.758,1121242.8239999998,1131492.76,7265.399459799582,17813.935009900044,24486.629588967127
7,174500.43,1105836.6600000001,1111869.2859999998,5957.677069449138,7846.90015753224,15336.93050610793
